Data Time:04/01/2021 14:27:12, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:27:40, Message:The remote name could not be resolved: 'ecu.114.testy', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 14:29:19, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:29:40, Message:The remote name could not be resolved: 'ecu.114.testy', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 14:30:13, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:35:03, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:35:24, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 14:35:25, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:41:20, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:41:41, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 14:41:42, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:45:37, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 14:45:59, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 14:47:43, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:04:36, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:04:57, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:05:04, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:07:08, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:07:29, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:09:30, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:13:21, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:13:42, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:15:04, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:25:03, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:25:24, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:25:43, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:27:42, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:28:04, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:28:10, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:29:21, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:29:42, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:30:01, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:33:42, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:34:03, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:34:11, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:35:40, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:36:01, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:36:05, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:39:12, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:39:33, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:39:34, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:44:15, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:44:40, Message:The operation has timed out, Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:44:41, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:48:28, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:48:28, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:48:28, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:49:48, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:49:49, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:49:49, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:50:01, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:50:02, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:50:02, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:50:50, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:07, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:24, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:43, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:44, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:51:46, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:52:40, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:52:44, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:52:45, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:53:45, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:64, Class Name:Program.cs
Data Time:04/01/2021 15:53:50, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
Data Time:04/01/2021 15:53:52, Message:Response received from URL, Event Name:, Control Name:, Line No.:59, Class Name:Program.cs
